,source,target,edge
5220,T cell responses,regulatory role,are
5221,NE inhibitors,expression,induced
5222,presence,maturation,promoted
5223,presence,antibody based immunity.(24,improves
5224,trans retinoic acid,beneficial effects,has
5225,RA,neutrophil mediated endothelial cell injury,modulate
5226,effects,reduction,underlie
5227,continuedproduction,negative effect,has
5228,T cells,significantlyhigher levels,have
5229,maturationprocess,initiation,affects
5230,atRA)can,spontaneous apoptosis,Retinoic acid
5231,ATRA,anti - inflammatory immunoregulatory effects,reported
5232,Intracellular cholesterol levelis,amajor role,plays
5233,ion.(62)Angiotensin II,intracellular calcium activity,increases
5234,nicardipine,Ang II mediated[Ca2,influence
5235,interleukin-6,AT1 protein,regulated
5236,Age,the followingconditions:1,have
5237,ClinicalTrials.gov,data,processed
5238,hemodynamic pressors,blood pressure).6,Hypotension
5239,Anemia,<75%,defined
5240,ClinicalTrials.gov,data,processed
5241,Subjects,fingerstick lancing 1 venous blood draw,undergo
5242,Male female subjects,years.2,aged
5243,Subject,documented SARS CoV-2 PCR test,have
5244,ClinicalTrials.gov,data,processed
5245,ClinicalTrials.gov,data,processed
5246,Coronavirus disease-19 COVID-19,unprecedented effect,had
5247,Increased number,enormous load,put
5248,Population,confirmed cases,consists
5249,ClinicalTrials.gov,data,processed
5250,ClinicalTrials.gov,data,processed
5251,Patients,survey,complete
5252,ClinicalTrials.gov,data,processed
5253,ClinicalTrials.gov,data,processed
5254,Identify,antigenic binding,confirm
5255,Active coronavirus disease Inclusion criteriaParticipants,following criteria,satisfy
5256,CriteriaThe presence,participant,exclude
5257,ClinicalTrials.gov,data,processed
5258,clinical course,thedegree of NETosis activity,andevaluate
5259,plasma,process,evaluated
5260,clinical course,thedegree of NETosi activity,andevaluate
5261,plasma,the NETosisprocess,evaluated
5262,Covid-19 patients,≥,aged
5263,ClinicalTrials.gov,data,processed
5264,arterial blood gas and/or lung imagingto,probability,assess
5265,swab,Nasopharyngeal,betaken for
5266,time point,themonitoring measurement,replace
5267,hospital,measurement,replace
5268,normal cell turnover,nucleic acid content,results in
5269,Permanent sterilisation methods,hysterectomy,include
5270,ClinicalTrials.gov,data,processed
5271,ClinicalTrials.gov,data,processed
5272,Brazilian Chiropractors,COVID-19 Pandemic,Facing
5273,Brazil,Latin America largest coronavirus outbreak,has
5274,ClinicalTrials.gov,data,processed
5275,willbe,50 cancer patients candidates,enrolled
5276,ClinicalTrials.gov,data,processed
5277,Post Exposure Prophylaxis,Patients,Healthcare Workers Exposed to
5278,viruses,host cells,enter
5279,group,investigational drug,receive
5280,Researchers,differentmedications,researching
5281,ClinicalTrials.gov,data,processed
5282,Inclusion Criteria:-Adults medical paramedical staff,emergency room,working
5283,ClinicalTrials.gov,data,processed
5284,investigators,open randomizedclinical trial,propose
5285,disease spectrum includesasymptomatic stage,point,constituting
5286,ClinicalTrials.gov,data,processed
5287,investigators,prospective double blind multicentre randomised trial toassess treatment,do
5288,60 patients,i.v. transfusion 3times,receive
5289,30 patients,placebo,receive
5290,4)pulmonary imaging,interstitial damage,revealed
5291,ClinicalTrials.gov,data,processed
5292,ClinicalTrials.gov,data,processed
5293,nospecific treatment,efficacy,proven
5294,HBOT mechanisms,thesefindings,explain
5295,outbreakstarted,the World Health,recognized
5296,170moderate,cases,admitted
5297,Poor prognosis,highlevels,include
5298,Chen et al.,case series,reported
5299,cases,increase,reported
5300,increased,binding,increases
5301,HBOT,following inflammatory cytokines,reduces
5302,ClinicalTrials.gov,data,processed
5303,patients,dyspnea,have
5304,effects,improvement,resultin
5305,ClinicalTrials.gov,Non - parametric data,processed
5306,ClinicalTrials.gov,data,processed
5307,positive patients,placebo doses,receive
5308,patients,oral,time from
5309,Control group,placebo,receiving
5310,participant,participant medication box,estimated by
5311,risk,be20%,modified
5312,%,hospital management,required
5313,fetal toxicity studies,notshow embryo fetal toxic effects,recommended
5314,the World Medical Association,the Helsinki Declaration,haspromulgated
5315,ClinicalTrials.gov,data,processed
5316,ClinicalTrials.gov,data,processed
5317,Patients,wide range,exhibit
5318,ground glass opacification,more than 50%,found
5319,andcan,drug-induced LQT,cause
5320,ClinicalTrials.gov,data,processed
5321,x upper limit,"50,000/µL.3",platelets
5322,ClinicalTrials.gov,data,processed
5323,stage renal disease,cirrhosis,confirmed
5324,ClinicalTrials.gov,data,processed
5325,ClinicalTrials.gov,data,processed
5326,Efficacy and Safety of Nitazoxanide,Mild Ambulatory COVID-19 Patients,Treat
5327,Investigator,treatment duration,extend
5328,ClinicalTrials.gov,data,processed
5329,community health workers,households,educate
5330,Inclusion Criteria:-Youth,18 to 30 years,aged
5331,ClinicalTrials.gov,data,processed
5332,ClinicalTrials.gov,data,processed
5333,investigators,utility,demonstrated
5334,ClinicalTrials.gov,data,processed
5335,Plasma,variety,contains
5336,ClinicalTrials.gov,data,processed
5337,SARS)-CoV-2 real time RT-PCR,nasopharyngeal swab sample,Confirmed COVID-19 disease
5338,patient,capacity,obtained from
5339,protocol,pregnant subjects,exclude
5340,ClinicalTrials.gov,data,processed
5341,Common Medications,Course,Alter
5342,the WHO,recommendation,reversed
5343,NSAID use,bacterial pneumonia,is
5344,case control study,association,explore
5345,ClinicalTrials.gov,data,processed
5346,Comparison,IM,administered
5347,ClinicalTrials.gov,data,processed
5348,patients,pneumonia,develop
5349,Excessiveand,immune system response,uncontrolled
5350,"AT2),which",development,determines
5351,Cytokinerelease syndrome,emergence,threatens
5352,key components,disruption,include
5353,ClinicalTrials.gov,data,processed
5354,vitamin D,hard endpoints,Wehypothesize
5355,ClinicalTrials.gov,data,processed
5356,24 patients,0.5 10E6 UC MSCs,received
5357,other24 patients,conventional treatment,received
5358,ClinicalTrials.gov,data,processed
5359,Hypercapnia,NIV,indicating
5360,ClinicalTrials.gov,data,processed
5361,activity,role inprevention,play
5362,Participants,treatment,receive
5363,Mosthealth agencies,careful approach,suggest
5364,Exposureof HCW,risk stratification,necessitates
5365,patient,facemask,The CDCdefines
5366,patient,facemask,wear
5367,HCWs safety,thepossibility,makes
5368,intervention group,oral hydroxychloroquine,receive
5369,400 mg,treatment,receive
5370,primary analysis,randomized participants,include
5371,ClinicalTrials.gov,data,processed
5372,Score,supplemental oxygen,requires
5373,condition,participant,put
5374,ClinicalTrials.gov,data,processed
5375,ClinicalTrials.gov,data,processed
5376,Fourteen patients,dose level,receive
5377,Patients,total,receive
5378,Patients,identical IV infusions,receive
5379,Patients,available supportive antiviral therapies,receive
5380,exploratory endpoints,time,include
5381,ClinicalTrials.gov,data,processed
5382,ClinicalTrials.gov,data,processed
5383,pandemicwill,capacity,exceed
5384,health carepersonnel,valuable resource,represent
5385,Elfiky et al.,SARS CoV-2 model,made
5386,duration,lower temperature,presented
5387,Study,triple blinded multicentric clinical trial,designRandomized
5388,central pharmacist,thecorrespondence,know
5389,participants,follow visits,have
5390,ClinicalTrials.gov,data,processed
5391,1)improves V Q ratio,PVR,reduces
5392,ClinicalTrials.gov,data,processed
5393,ClinicalTrials.gov,data,processed
5394,Corona virus disease,parts,involving
5395,pandemic,parts,involving
5396,ClinicalTrials.gov,data,processed
5397,patients,arthritis,withrheumatoid
5398,ClinicalTrials.gov,data,processed
5399,Emergency departments,important,carried out
5400,Emergency departments,important,carried out
5401,ClinicalTrials.gov,data,processed
5402,ClinicalTrials.gov,data,processed
5403,ClinicalTrials.gov,data,processed
5404,ClinicalTrials.gov,data,processed
5405,ClinicalTrials.gov,data,processed
5406,apatient,criteria,The treating physician/investigator contacts
5407,ClinicalTrials.gov,data,processed
5408,ClinicalTrials.gov,data,processed
5409,endpoints,current COVID-19-based precautions impacttreatment related outcomes,establish
5410,ClinicalTrials.gov,data,processed
5411,ClinicalTrials.gov,data,processed
5412,study,minimum number,developed with
5413,BPCO,Quick Walk Test respiratory symptoms,95% in
5414,ClinicalTrials.gov,data,processed
5415,criteria,rational use,support
5416,lipophilic nature,toinhibit viral replication,allow
5417,ClinicalTrials.gov,data,processed
5418,ClinicalTrials.gov,data,processed
5419,target zones,set,cover
5420,Herbs,Herbs,prove
5421,protocol,treatment model,presents
5422,ClinicalTrials.gov,data,processed
5423,I. Future correlative biomarker objectives,assessment,include
5424,Adult,quality,complete
5425,ClinicalTrials.gov,data,processed
5426,questionnaire,women,trained to
5427,ClinicalTrials.gov,data,processed
5428,15-20%,hospitalization,require
5429,ClinicalTrials.gov,data,processed
5430,ClinicalTrials.gov,data,processed
5431,questionnaire,39 questions,included
5432,investigators,interviews,Qualitative survey
5433,interview guide,onstructural organizational human factors,focused
5434,ClinicalTrials.gov,data,processed
5435,pandemic,considerabledisruption,caused
5436,cohort study,exposed cohort,willcomprise
5437,ClinicalTrials.gov,data,processed
5438,agentsare,pressure,lesson
5439,Ideal,tidal volume,estimated
5440,ClinicalTrials.gov,data,processed
5441,ClinicalTrials.gov,data,processed
5442,"200,000 have",succumbed,diagnosed
5443,Specific questions,presence,include
5444,study team,detailed investigations,prioritise
5445,Study participants,medical assistance,seek
5446,ClinicalTrials.gov,data,processed
5447,Evaluation,New Detection Approaches,Approaches
5448,issues,thequality,reduce
5449,ClinicalTrials.gov,data,processed
5450,fatigue)-Initial treatment plan,hospitalization Presence,include
5451,ClinicalTrials.gov,data,processed
5452,Phase,Double blind Randomized Controlled Trial,IIa
5453,conventional treatment,ARDS:-Either Wharton Jelly MSCs,randomized
5454,ClinicalTrials.gov,data,processed
5455,antiviral activity,patientswith,willevaluate
5456,ClinicalTrials.gov,data,processed
5457,ClinicalTrials.gov,data,processed
5458,features,fundamentallydifferent phenotypes,show
5459,ClinicalTrials.gov,data,processed
5460,upregulation,increasedsusceptibility,explain
5461,ClinicalTrials.gov,data,processed
5462,Autologous Peripheral Blood,CD34 + Cells,CLBS119
5463,randomized interventional comparative Phase IIII trial,safety,explore
5464,Eligible subjects,single administration,receive
5465,ClinicalTrials.gov,data,processed
5466,ClinicalTrials.gov,data,processed
5467,Platelets,"50,0006",<
5468,ClinicalTrials.gov,data,processed
5469,Unblinded study pharmacist orresearch nurse,investigational products,prepare
5470,symptoms,disease,offebrile
5471,central research coordinator,localdedicated study personnel,train
5472,Patient,formal role,plays
5473,steering committee,primary outcomes,review
5474,number,uneven,isfind
5475,patients,rtPCR test,expected
5476,ClinicalTrials.gov,data,processed
5477,clinical characteristics,respiratorysymptoms,include
5478,outbreak hasalready,global alarm,caused
5479,Fujifilm Toyama Chemical,Phase III clinical trial,hasstarted
5480,Avigan,RNA,blocks
5481,the new Phase IIItrial,Avigan safety,assess
5482,type,China,donein
5483,patients,tothe treatments,estimated
5484,Data Collectors,data collection sheet,fill up
5485,Standard TreatmentStandard treatment,oxygen inhalation,included
5486,Onprolong treatment Onprolong treatment,inflammation,develop
5487,RT-PCR,respiratory samples,done by
5488,clinical characteristics,respiratorysymptoms,include
5489,ClinicalTrials.gov,data,processed
5490,ClinicalTrials.gov,data,processed
5491,Lang andcolleagues,role,investigated
5492,Secondary objectives,safety,evaluated
5493,Secondary objectives,safety,evaluated
5494,Group 2a,liposomal lactoferrin,received
5495,Blood samples,T1,werecollected at
5496,ClinicalTrials.gov,data,processed
5497,Acute Kidney Injury,Renal Replacement Therapy,", Randomized, Case Controlled, Double-blind, Ascending-dose Study of"
5498,ClinicalTrials.gov,data,processed
5499,Early reports,overall cardiac arrhythmia incidence,suggested
5500,ClinicalTrials.gov,data,processed
5501,Sex,individual susceptibility,influence
5502,Inclusion Criteria:-Patients,SARS Cov-2 infection,confirmed
5503,ClinicalTrials.gov,data,processed
5504,Colchicine treatment,initial dose,includes
5505,Patients,standard therapy,receive
5506,ClinicalTrials.gov,data,processed
5507,lucinactant,duration,decrease
5508,Lucinactant,extensive safety profile,has
5509,lucinactant,respiratory status,hypothesized
5510,ICF;-Age 18 75 inclusive);-Real time polymerase chain reaction,positive,assay
5511,ClinicalTrials.gov,data,processed
5512,ClinicalTrials.gov,data,processed
5513,Current standard,invarious North American hospitals,differs
5514,ClinicalTrials.gov,data,processed
5515,Platelet,Fl5,count
5516,History,thrombocytopenia,induced
5517,ClinicalTrials.gov,data,processed
5518,Clinical Validation,Flocked Nasopharyngeal Swabs,Molded
5519,Clinical Validation,Flocked Nasopharyngeal Swabs,Molded
5520,ClinicalTrials.gov,data,processed
5521,becausethese drugs,action mechanism,counteract
5522,ClinicalTrials.gov,data,processed
5523,ClinicalTrials.gov,data,processed
5524,ClinicalTrials.gov,data,processed
5525,ClinicalTrials.gov,data,processed
5526,ClinicalTrials.gov,data,processed
5527,open controlled trial,efficacy,evaluate
5528,ClinicalTrials.gov,data,processed
5529,interim safety review,place,take
5530,ClinicalTrials.gov,data,processed
5531,current gold standard method,high analytical sensitivityand specificity,has
5532,ClinicalTrials.gov,data,processed
5533,lack,bias,cause
5534,ClinicalTrials.gov,data,processed
5535,ClinicalTrials.gov,data,processed
5536,Theinvestigators,Redcap platform,use
5537,Arms & InterventionsThe investigators,information,document
5538,Data collection Arms,participant sex,collect
5539,Arms & InterventionsThe investigators,data,collect
5540,ClinicalTrials.gov,data,processed
5541,Recent studies,ofvitamin C Zinc administration,shown
5542,patient,informed consent,give
5543,patients,standard routine medical care,receive
5544,study,principle,follow
5545,online graph padcalculator,patients,distributed
5546,random numbers,aspatients code number,assigned
5547,person,distinct sets,allocated
5548,ClinicalTrials.gov,data,processed
5549,ClinicalTrials.gov,data,processed
5550,ClinicalTrials.gov,data,processed
5551,global pandemic,considerable morbidity andmortality,caused
5552,China,elevated D dimer level greater than1 ug,observed
5553,association,modifiable risk factor,represent
5554,risk stratification,blood count,complete
5555,P F,D dimer,ratio<100)-Elevated
5556,ClinicalTrials.gov,data,processed
5557,Hospitalmortality,45%,affects
5558,Administration,elimination ofthe virus,delay
5559,Contraindication,QT prolongation,documented
5560,ClinicalTrials.gov,data,processed
5561,ClinicalTrials.gov,data,processed
5562,ClinicalTrials.gov,data,processed
5563,Autopsy reports,micro macro vascular thrombosis,noted
5564,75%,pulmonary,had
5565,Patients,23.3-fold higher risk,had
5566,ClinicalTrials.gov,data,processed
5567,patients,follow visit,have
5568,ClinicalTrials.gov,data,processed
5569,ClinicalTrials.gov,data,processed
5570,Absolute lymphocyte,500 cells,count
5571,ClinicalTrials.gov,data,processed
5572,colchicine treatment,initial dose,includes
5573,Patients,standard therapy,receive
5574,ClinicalTrials.gov,data,processed
5575,ClinicalTrials.gov,data,processed
5576,patients,sequelae,have
5577,patients,organization,changed
5578,the clinician,clinician twoquestions,ask
5579,method,better results,Is
5580,COVID-19 patients,sequelae,have
5581,COVID-19 patients,dyspnea,bephysical
5582,COVID-19 patients,recovery,indicated in
5583,telemedicine,developed inaffected industrial countries,beeing
5584,clinician,clinician questions,ask
5585,method,betterresults,Is
5586,study,methods,evaluates
5587,ClinicalTrials.gov,data,processed
5588,RT PCRpanel,SARS CoV-2 Ribonucleic acid,detects
5589,approach,false positives,generateany
5590,case control study,120 samples,analyze
5591,The PI,activities,coordinate
5592,organizations,collaborative work,is
5593,IEDCR,different kits,uses
5594,A*Star Fortitude Kit,false positive false negative results,known
5595,IEDCR,A*Star Fortitude Kit,uses
5596,IEDCR,collaborative work,doing
5597,Kappa,K=(Observed Agreement,coefficient
5598,Principal Investigator,evaluation data analysis,coordinating
5599,The PI,activities,coordinate
5600,ClinicalTrials.gov,data,processed
5601,ClinicalTrials.gov,data,processed
5602,Bothtreatment groups,established treatment regimen,receive
5603,ClinicalTrials.gov,data,processed
5604,Pilot Study,Effect,Evaluate
5605,ClinicalTrials.gov,data,processed
5606,Blockade,deterioration,prevent
5607,Pilot Study,Effect,Evaluate
5608,ClinicalTrials.gov,data,processed
5609,Thymalfasin,COVID-19 Infection,Treat
5610,Larger clinical trials,shownsignificant efficacy,have
5611,1.6 mg,immune system homeostasis,restores
5612,ClinicalTrials.gov,data,processed
5613,Nasal lavage consistsof,salt water,running
5614,Patients,significant risks,involve
5615,Pilot Study,Effect,Evaluate
5616,ClinicalTrials.gov,data,processed
5617,Pilot Study,Effect,Evaluate
5618,ClinicalTrials.gov,data,processed
5619,ClinicalTrials.gov,data,processed
5620,Pilot Study,Effect,Evaluate
5621,ClinicalTrials.gov,data,processed
5622,ClinicalTrials.gov,data,processed
5623,FDA,standard blood donation,approved
5624,(P:F) ratio <300 -Pulmonary,> 50%,defined
5625,ClinicalTrials.gov,data,processed
5626,ClinicalTrials.gov,data,processed
5627,studypatients,standard,receive
5628,Patients,continuous intravenous i.v infusion,receivea
5629,ClinicalTrials.gov,data,processed
5630,emergence,significant challenge,poses
5631,ClinicalTrials.gov,data,processed
5632,SOC treatment,adult subjects,inhospitalized
5633,greater 5 upper limit,100 109 L,platelets
5634,ClinicalTrials.gov,data,processed
5635,DM,investigator,question
5636,Statistical analysis,Statistical analysis plan,See
5637,statistician,Statistical analysis plan,finalize
5638,secondary efficiency indicators,negative conversion ratio,include
5639,2.4Analysis software,the software SAS,Use
5640,Nomodification,original data,overwrite
5641,study sites,study drugs,manage
5642,Subjects Inclusion Criteria:1 legal representatives,informed consent,agree not
5643,ClinicalTrials.gov,data,processed
5644,ClinicalTrials.gov,data,processed
5645,Patients inthe test group,convalescent plasma,receive
5646,200ml,blood bank records,issuedmaintaining
5647,partial pressure,> 50%,v. lung infiltrates
5648,Clinical status,infusion,precluding
5649,ClinicalTrials.gov,data,processed
5650,National early warning score,quickly determiningthe degree,helps in
5651,National early warning score,likelihood,provides
5652,Field,lungs,covering
5653,Gantry,lateral chest,rotated to
5654,Gantry,0 degree,opened
5655,ClinicalTrials.gov,data,processed
5656,ClinicalTrials.gov,data,processed
5657,ClinicalTrials.gov,data,processed
5658,weeks).A lab technician,blood,collected
5659,exercise,moderate intensity aerobic exercises,groupperformed
5660,Participants,weeks aerobic exercise program,performed
5661,Inclusion patient,mild,has
5662,ClinicalTrials.gov,data,processed
5663,ARB,Usage,DRi
5664,ClinicalTrials.gov,data,processed
5665,new coronavirus,seriouspneumonias,cause
5666,Hydroxychloroquine,efficacy,shown
5667,ClinicalTrials.gov,data,processed
5668,ClinicalTrials.gov,data,processed
5669,study,patients,enroll
5670,potential,potential risk,given
5671,Patient,informed consent,provide
5672,ClinicalTrials.gov,data,processed
5673,Serum Samples,samples,andbronchoscopy
5674,patients,impact,havesignificant
5675,ClinicalTrials.gov,data,processed
5676,ClinicalTrials.gov,data,processed
5677,adult patients,emergency laparotomy surgery,included
5678,ClinicalTrials.gov,data,processed
5679,Current standard PPE equipment,afit tested N95 mask,includes
5680,Ultimately decreased levels,therisk,reduce
5681,ClinicalTrials.gov,data,processed
5682,human antigen presenting cells,process COVID-19 target antigen protein,take up
5683,ClinicalTrials.gov,data,processed
5684,investigators,center 225 patient longitudinalprospective cohort study,propose
5685,Researchers,depth evaluation,perform
5686,Pre - existing cognitive language impairment,clinical outcomes,prohibiting
5687,ClinicalTrials.gov,data,processed
5688,Studies,similar findings,show
5689,CITY,particular demographic composition,has
5690,ClinicalTrials.gov,data,processed
5691,ClinicalTrials.gov,data,processed
5692,Satisfaction Scale,level,assesses
5693,BRUMS,about one to two minutes,takes
5694,24 indicators,subscales,comprise
5695,person,1 minute,defined
5696,Fluctuations inHRV patterns,early sensitive diagnosis,provide
5697,balls,circles,touched
5698,offers,feedback,hit
5699,ClinicalTrials.gov,data,processed
5700,Subjects,inclusion criteria,meet
5701,Laboratory,infection,confirmed
5702,e.g. Child Pugh,≥ C,Severe liver disease
5703,ClinicalTrials.gov,data,processed
5704,Convalescent plasma,clinical outcome,significantlyimproves
5705,Multicenter,double blind placebo.controlled clinical trial,randomized
5706,Study,Primary objective,objectives
5707,ClinicalTrials.gov,data,processed
5708,ClinicalTrials.gov,data,processed
5709,SARS CoV-2 displays,efficient transmission pattern,amore
5710,incidence,the general Population,40%among
5711,ClinicalTrials.gov,data,processed
5712,the WHO,global situation,described
5713,respiratory difficulties,tohospitalization,lead
5714,ClinicalTrials.gov,data,processed
5715,scientific community,little knowledge,has
5716,SARS-CoV-2 Quercetin,antiviral activity,have
5717,Bromelain,natural killer cells,activates
5718,ClinicalTrials.gov,data,processed
5719,ClinicalTrials.gov,data,processed
5720,ClinicalTrials.gov,data,processed
5721,Inclusion,time period,represent
5722,Trained research staff,data,abstract
5723,Individual participant data willinclude baseline data,exposure data,COVID-19
5724,"Approximately 24,400 deliveries",COVID-19 infections,confirmed
5725,ClinicalTrials.gov,data,processed
5726,Comparison,IM,administered
5727,US Infectious Cohort,oncology patients,excludes
5728,Men,≥,aged
5729,1000 cells,HOSPITALIZATION:4,following
5730,ClinicalTrials.gov,data,processed
5731,ClinicalTrials.gov,data,processed
5732,Transfusion,standard treatment modality,plasmais
5733,Transfusion,standard treatment modality,plasmais
5734,Studies,reduction viralload,reported
5735,Body weight,>50 kg,cut off
5736,Lung,> 50%,infiltrates
5737,ClinicalTrials.gov,data,processed
5738,Disease.the World Health Organization,non - blinded clinical trial,launched
5739,Study,research,advocates
5740,Doxycycline,promising results,showed
5741,Ivermectin,good efficacy,showed
5742,Doxycycline Doxycycline,anti viral role,has
5743,co - principle investigators,computer,managed by
5744,experimental,available standard,receive
5745,ClinicalTrials.gov,data,processed
5746,study site standard aftercare program,education sessions andphysical exercise,includes
5747,"8,5 million populated countries",to23'574,raised
5748,about 13.8% to 35%,severe course,suffering
5749,lung,>50%,infiltrates
5750,patients,oxygen therapy,require
5751,patients,intensive care,require
5752,patients,invasive ornon invasive mechanical ventilation,require
5753,8-week pulmonary rehabilitation program,significantlyexercise capacity,improved
5754,the American Thoracic Society,respiratoryrehabilitation,recommends
5755,Wölfel,virus,isolated
5756,duration,interquartile range,showed
5757,current knowledge,duration,shows
5758,average time,ranged,found
5759,evidence,high risk,points out
5760,patient,signs,reports
5761,ClinicalTrials.gov,data,processed
5762,Patients,4 study visits,attend
5763,ClinicalTrials.gov,data,processed
5764,current pandemic,urgent reorganization,demands
5765,participants,allrecommendations,received
5766,ClinicalTrials.gov,data,processed
5767,ClinicalTrials.gov,data,processed
5768,investigators,biorepository,created
5769,ClinicalTrials.gov,data,processed
5770,common manifestations,fever,included
5771,ClinicalTrials.gov,data,processed
5772,ClinicalTrials.gov,data,processed
5773,Laboratory,COVID-19 infection,confirmed
5774,ClinicalTrials.gov,data,processed
5775,SOC)versus SOC,SARS CoV-2 infection,confirmed
5776,ClinicalTrials.gov,data,processed
5777,ECDC risk factors,elderly people,include
5778,requiredintensive care treatment,high circulating cytokines,In
5779,study,important information,provide
5780,data,important implications,have
5781,ClinicalTrials.gov,data,processed
5782,Patients,single double plasma units,receive
5783,Cedars-Sinai Medical CenterPatients,single double plasma units,receive
5784,ClinicalTrials.gov,data,processed
5785,Data,beneficialrole,showed
5786,ClinicalTrials.gov,data,processed
5787,ClinicalTrials.gov,data,processed
5788,90%,supplemental oxygen tomaintain,requiring
5789,Patient,resuscitate DNR,has
5790,Patient,severe chronic obstructive pulmonary disease,has
5791,Patient,known pregnancy,has
5792,ClinicalTrials.gov,data,processed
5793,ClinicalTrials.gov,patient clinical data,processed
5794,Multiple large series,high rates ofmyocardial injuries,reported
5795,findings,raisedconcerns,have
5796,COVID CMR,120 patients,willinclude
5797,ClinicalTrials.gov,data,processed
5798,ClinicalTrials.gov,data,processed
5799,ClinicalTrials.gov,data,processed
5800,ClinicalTrials.gov,data,processed
5801,patients,abnormally high carbon dioxide,have
5802,patients,carbon dioxide levels,oxygenand
5803,ClinicalTrials.gov,data,processed
5804,ClinicalTrials.gov,data,processed
5805,SARS CoV-2,patients,affects
5806,AECII,thealveolar capillary barrier permeability,regulate
5807,ClinicalTrials.gov,data,processed
5808,ClinicalTrials.gov,data,processed
5809,Signed,informed consentExclusion Criteria:-Contra indication,written
5810,ClinicalTrials.gov,data,processed
5811,Droplets,route,beanother
5812,Researchers,SARS cov-2,detected
5813,One of two studies have reportedSARS-CoV-2 RNA in semen from six infected patients,reportedSARS RNA,have
5814,pandemic,major changes,created
5815,Northwell Health,elective surgeries,postponed
5816,Anotherretrospective non - operative hospital cohort,34 102 adult patients,found
5817,Bariatric Surgical Practice,Apr,published
5818,Patients,< 18 years.2,age
5819,ClinicalTrials.gov,data,processed
5820,patients,casefatality rate,have
5821,definition,therapies,tailorestablished
5822,ATS Insubria archives,missingdata,provides
5823,ClinicalTrials.gov,data,processed
5824,companies,kits,offering
5825,ClinicalTrials.gov,data,processed
5826,Transmission,throughdroplets,occurs
5827,ClinicalTrials.gov,data,processed
5828,Donors,anti - SARS CoV2 antibodies,have
5829,ClinicalTrials.gov,data,processed
5830,group,study drug,receive
5831,group,standard,receive
5832,ClinicalTrials.gov,data,processed
5833,participant,total,receive
5834,HIV positive subjects,regimen,using
5835,ClinicalTrials.gov,data,processed
5836,Quarantining individualswill,standard,have
5837,ClinicalTrials.gov,data,processed
5838,ClinicalTrials.gov,data,processed
5839,SARS CoV-2 pandemic,unprecedented burden,puts
5840,smartwatch,severalphysiological parameters,collects
5841,ClinicalTrials.gov,collected data,processed
5842,tissue,marked shift incellular metabolism,indicated
5843,ClinicalTrials.gov,data,processed
5844,Cardiovascular Renal Biomarkers,Acute Heart or Kidney Injury,Predict
5845,ClinicalTrials.gov,data,processed
5846,investigator led non - commercial non - interventional study,patient,collect
5847,ClinicalTrials.gov,data,processed
5848,a head CT,evidence,demonstrating
5849,ClinicalTrials.gov,data,processed
5850,ClinicalTrials.gov,data,processed
5851,passive antibodytherapy,protection,is
5852,largest,treatment,studyinvolved
5853,ClinicalTrials.gov,data,processed
5854,pandemic,topic,brought
5855,angiotensin,2(ACE2,identified
5856,ClinicalTrials.gov,data,processed
5857,ClinicalTrials.gov,data,processed
5858,ClinicalTrials.gov,data,processed
5859,Bio Rad SARS CoV-2 ddPCR Test,reaction,enables
5860,ClinicalTrials.gov,data,processed
5861,ClinicalTrials.gov,data,processed
5862,DMDs,risk,establish
5863,people,health information,determine
5864,ClinicalTrials.gov,data,processed
5865,false postive serological results,whiledetecting antibodies,shown
5866,theinvestigators,different immunoassays,test
5867,coronaviruses,anucleocapsid,display
5868,ClinicalTrials.gov,data,processed
5869,secondaryendpoints,SARS CoV-2 infections,include
5870,ClinicalTrials.gov,data,processed
5871,coronavirus,extensive neuronal damage,cause
5872,inflammation,risk,increase
5873,ClinicalTrials.gov,data,processed
5874,"2019,a new type",inWuhan,broke out
5875,ClinicalTrials.gov,data,processed
5876,ClinicalTrials.gov,data,processed
5877,ClinicalTrials.gov,data,processed
5878,the Covid-19 Outbreak,daily life,influenced
5879,ClinicalTrials.gov,data,processed
5880,ClinicalTrials.gov,data,processed
5881,Thestudy,randomized wait list control,uses
5882,Studies,physical mental benefits,documented
5883,ClinicalTrials.gov,data,processed
5884,Inclusion Criteria:-couples,cessation,followed up
5885,ClinicalTrials.gov,data,processed
5886,disease,individuals,affected
5887,ClinicalTrials.gov,data,processed
5888,pregnant women,sessions,receive
5889,thosein,intervention,receive
5890,Language,English,communicated
5891,ClinicalTrials.gov,data,processed
5892,data,timing,inform
5893,ClinicalTrials.gov,data,processed
5894,negative result,possibility ofinfection,exclude
5895,Reasons,lack,include
5896,patients,early significant CTchanges,emerged
5897,subject,informedconsent,sign
5898,Cin,way,anonymized
5899,limits,difference,required to
5900,ClinicalTrials.gov,data,processed
5901,Feasibility Study,immediate effects,alsoexplore
5902,Emerging data,high prevalence,shows
5903,Feasibility Study,feasibility,evaluate
5904,investigators,short termeffects,evaluate
5905,ClinicalTrials.gov,data,processed
5906,the Municipal Health Committee,outbreak ofviral pneumonia,identified
5907,CQ diphosphate,mortality,The main hypothesisis
5908,hospital,multiprofessional human resources,trained
5909,440 participants,high dosechloroquine,receive
5910,Male female participants,over 18 years,aged
5911,ClinicalTrials.gov,Clinical laboratory data,processed
5912,Especially mesenchymal stromal cells,Especially mesenchymal stromal cells,haveproven
5913,additional immunosuppressive treatment Patients,contraceptives,use
